Ranking,Institution,Year
34,London School of Economics,2015
36,University of Edinburgh,2015
37,University of California - Santa Barbara,2015
38,New York University,2015
39,McGill University,2015
40,King's College London,2015
41,University of California - San Diego,2015
42,Washington University in St. Louis,2015
43,University of Hong Kong,2015
44,Karolinska Institute,2015
45,Australian National University,2015
46,University of Minnesota,2015
46,University of North Carolina at Chapel Hill,2015
48,Peking University,2015
49,Tsinghua University,2015
50,Seoul National University,2015
51,Hong Kong University of Science and Technology,2015
52,Korea Advanced Institute of Science and Technology,2015
52,University of Manchester,2015
54,Brown University,2015
55,Catholic University of Leuven,2015
55,University of California - Davis,2015
57,Boston University,2015
58,Pennsylvania State University,2015
59,Kyoto University,2015
60,University of Sydney,2015
61,Ecole Polytechnique,2015
61,Nanyang Technological University,2015
63,Scuola Normale Superiore di Pisa,2015
64,University of Leiden,2015
65,University of Queensland,2015
66,Pohang University of Science and Technology,2015
67,University of Gottingen,2015
68,Ohio State University,2015
69,Rice University,2015
70,University of Heidelberg,2015
71,Delft University of Technology,2015
72,Erasmus University Rotterdam,2015
73,Wageningen University & Research Center,2015
74,University of Bristol,2015
75,University of Basel,2015
75,University of Southern California,2015
77,University of Amsterdam,2015
78,Ecole Normale Superieure de Paris,2015
79,Utrecht University,2015
80,Humboldt University of Berlin,2015
81,Free University of Berlin,2015
82,Michigan State University,2015
83,Monash University,2015
83,University of Durham,2015
85,Middle East Technical University,2015
86,University of Arizona,2015
86,University of Notre Dame,2015
88,University of California - Irvine,2015
88,Tufts University,2015
90,University of Gent,2015
91,University of Massachusetts (System),2015
91,University of Pittsburgh,2015
93,Emory University,2015
94,McMaster University,2015
94,University of Glasgow,2015
96,Vanderbilt University,2015
97,University of Colorado at Boulder,2015
98,Technical University of Munchen,2015
98,Stockholm University,2015
98,Uppsala University,2015
101,University of Maastricht,2015
102,Purdue University,2015
103,University of Helsinki,2015
103,University Pierre et Marie Curie (Paris VI),2015
103,University of Warwick,2015
103,University of Zurich,2015
107,University of Geneva,2015
107,Queen Mary - University of London,2015
109,University of New South Wales,2015
109,University of California - Santa Cruz,2015
111,University of St. Andrews,2015
111,University of Sussex,2015
113,University of Montreal,2015
113,University of Tubingen,2015
113,University of York,2015
116,Case Western Reserve University,2015
117,University of Groningen,2015
118,Royal Holloway - University of London,2015
119,Lund University,2015
120,University Paris Sud (Paris XI),2015
121,Technical University of Denmark,2015
121,University of Sheffield,2015
121,University of Rochester,2015
124,University of Alberta,2015
124,University of Cape Town,2015
126,KTH - Royal Institute of Technology,2015
126,University of Florida,2015
126,Boston College,2015
129,Chinese University of Hong Kong,2015
130,University of Virginia,2015
131,University of Lancaster,2015
132,University of Bern,2015
132,University of Southampton,2015
132,University of Maryland at College Park,2015
135,Technical University of Dresden,2015
136,University of Lausanne,2015
136,VU University Amsterdam,2015
138,Trinity College Dublin,2015
139,Bogazici University,2015
140,Radboud University of Nijmegen,2015
141,Tokyo Institute of Technology,2015
141,Colorado School of Mines,2015
141,Texas A&M University,2015
144,Eindhoven University of Technology,2015
144,Rutgers - The State University of New Jersey,2015
146,University of Leeds,2015
147,Brandeis University,2015
148,University of Birmingham,2015
148,Sungkyunkwan University,2015
150,University of California - Riverside,2015
150,Indiana University at Bloomington,2015
152,Dartmouth College,2015
153,Aarhus University,2015
154,University of Exeter,2015
155,National Taiwan University,2015
156,RWTH Aachen University,2015
157,University of Western Australia,2015
157,Osaka University,2015
157,University of Liverpool,2015
160,University of Copenhagen,2015
160,Ecole Normale Superieure de Lyon,2015
162,University of Utah,2015
163,University of Freiburg,2015
164,University of Adelaide,2015
165,University Pompeu Fabra,2015
165,Tohoku University,2015
165,Istanbul Technical University,2015
165,Karlsruhe Institute of Technology,2015
169,University of Miami,2015
170,University of Antwerp,2015
171,Catholic University of Louvain,2015
171,University of Nottingham,2015
173,University of Victoria,2015
173,Georgetown University,2015
175,University of Auckland,2015
175,University of Iowa,2015
177,Syracuse University,2015
178,University Joseph Fourier - Grenoble I,2015
178,University of Aberdeen,2015
180,University Denis Diderot (Paris VII),2015
180,University of Delaware,2015
182,Sabanci University,2015
182,University of Vienna,2015
182,Arizona State University,2015
185,Northeastern University,2015
186,University of Oslo,2015
186,Yeshiva University,2015
188,University of Ottawa,2015
188,Tel Aviv University,2015
188,State University of New York at Stony Brook,2015
191,State University of New York at Buffalo,2015
192,City University of Hong Kong,2015
193,Fudan University,2015
193,Iowa State University,2015
195,University of Bonn,2015
196,Moscow State University,2015
196,St George's - University of London,2015
198,University of East Anglia,2015
199,University of Leicester,2015
200,George Washington University,2015
200,Florida Institute of Technology,2015
201,University of Innsbruck,2015
201,Universite Libre de Bruxelles,2015
201,University of Sao Paulo,2015
201,University of Science and Technology of China,2015
201,University of Frankfurt am Main,2015
201,University of Ulm,2015
201,University of Barcelona,2015
201,Hong Kong Polytechnic University,2015
201,Hebrew University of Jerusalem,2015
201,Technion - Israel Institute of Technology,2015
201,University of Trieste,2015
201,Korea University,2015
201,Yonsei University,2015
201,University of Twente,2015
201,University of Bergen,2015
201,Bilkent University,2015
201,Cardiff University,2015
201,University of Dundee,2015
201,Newcastle University - Newcastle-upon-Tyne,2015
201,University of Reading,2015
201,University of Illinois at Chicago,2015
201,Wake Forest University,2015
201,University of Texas at Dallas,2015
201,College of William and Mary,2015
201,University of Strasbourg,2015
226,Vienna University of Technology,2015
226,University of Technology Sydney,2015
226,Carleton University,2015
226,Dalhousie University,2015
226,Laval University,2015
226,Simon Fraser University,2015
226,University of Calgary,2015
226,Western University,2015
226,York University,2015
226,University of Wurzburg,2015
226,University of Kiel,2015
226,Technical University of Berlin,2015
226,University of Konstanz,2015
226,Autonomous University of Barcelona,2015
226,Mines ParisTech,2015
226,University College Dublin,2015
226,University of Milan - Bicocca,2015
226,Nagoya University,2015
226,Tokyo Metropolitan University,2015
226,Goteborg University,2015
226,Birkbeck - University of London,2015
226,Brunel University,2015
226,Rensselaer Polytechnic Institute,2015
226,State University of New York at Albany,2015
251,Medical University of Vienna,2015
251,University of Newcastle - Australia,2015
251,Queen's University,2015
251,University of Waterloo,2015
251,Federico Santa Maria Technical University,2015
251,Nanjing University,2015
251,University of Los Andes,2015
251,Technical University of Darmstadt,2015
251,University of Bremen,2015
251,University of Munster,2015
251,National University of Ireland - Galway,2015
251,University of Iceland,2015
251,University of Salento,2015
251,University of Pavia,2015
251,University of Trento,2015
251,University of Turin,2015
251,University of Otago,2015
251,Swedish University of Agricultural Sciences,2015
251,National Tsinghua University,2015
251,Queen's University Belfast,2015
251,University of Witwatersrand,2015
251,University of South Florida,2015
251,University of Hawaii at Manoa,2015
251,University of New Mexico,2015
251,Aalto University,2015
276,University of Macau,2015
276,Queensland University of Technology,2015
276,University of South Australia,2015
276,University of Wollongong,2015
276,University of Fribourg,2015
276,Shanghai Jiao Tong University,2015
276,University of Erlangen-Nurnberg,2015
276,Lappeenranta University of Technology,2015
276,University of Montpellier II,2015
276,University College Cork,2015
276,Indian Institute of Science,2015
276,Panjab University,2015
276,University of Bologna,2015
276,University of Milan,2015
276,Tokyo Medical and Dental University,2015
276,Tilburg University,2015
276,Norwegian University of Science and Technology,2015
276,Victoria University of Wellington,2015
276,Chalmers University of Technology,2015
276,National Chiao Tung University,2015
276,University of Plymouth,2015
276,University of Stellenbosch,2015
276,Colorado State University,2015
276,University of Georgia,2015
276,University of Nebraska - Lincoln,2015
276,University of Cincinnati,2015
276,University of South Carolina,2015
276,Virginia Polytechnic Institute and State University,2015
301,Charles Darwin University,2015
301,Deakin University,2015
301,Macquarie University,2015
301,State University of Campinas,2015
301,University of Manitoba,2015
301,Renmin University of China,2015
301,Zhejiang University,2015
301,Charles University Prague,2015
301,University of Duisburg-Essen,2015
301,University of Cologne,2015
301,University of Stuttgart,2015
301,University of Southern Denmark,2015
301,Autonomous University of Madrid,2015
301,University of Valencia,2015
301,University of Tampere,2015
301,University of Crete,2015
301,Hong Kong Baptist University,2015
301,Sharif University of Technology,2015
301,Polytechnic University of Milan,2015
301,University of Padua,2015
301,University of Pisa,2015
301,University of Rome - La Sapienza,2015
301,Tsukuba University,2015
301,Cadi Ayyad University,2015
301,University of Canterbury,2015
301,University of Warsaw,2015
301,Novosibirsk State University,2015
301,Koc University,2015
301,University of Bath,2015
301,University of Essex,2015
301,University of Stirling,2015
301,Bangor University,2015
301,San Diego State University,2015
301,University of Connecticut,2015
301,Illinois Institute of Technology,2015
301,Kansas State University,2015
301,University of Kansas,2015
301,Tulane University,2015
301,Wayne State University,2015
301,University of Montana,2015
301,Creighton University,2015
301,University of Nebraska Medical Center,2015
301,University of Oklahoma,2015
301,Oregon State University,2015
301,Drexel University,2015
301,University of Houston,2015
301,University of Jyvaskyla,2015
301,Sun Yat-Sen University,2015
351,Royal College Surgeons in Ireland,2015
351,University of Rome III,2015
351,University of Graz,2015
351,Curtin University,2015
351,Murdoch University,2015
351,Swinburne University of Technology,2015
351,University of Western Sydney,2015
351,University of Liege,2015
351,Vrije Universiteit Brussel,2015
351,Wuhan University,2015
351,Wuhan University of Technology,2015
351,University of Bochum,2015
351,University of Bayreuth,2015
351,University of Bielefeld,2015
351,Aalborg University,2015
351,University of Navarra,2015
351,University of Turku,2015
351,University Claude Bernard - Lyon I,2015
351,Indian Institute of Technology - Bombay,2015
351,Indian Institute of Technology - Roorkee,2015
351,Isfahan University of Technology,2015
351,University of Bari,2015
351,University of Ferrara,2015
351,University of Florence,2015
351,Hokkaido University,2015
351,Kyushu University,2015
351,Waseda University,2015
351,Ewha Womans University,2015
351,Hanyang University,2015
351,Seoul University,2015
351,University of Waikato,2015
351,University of Lisbon,2015
351,University of Minho,2015
351,Linkoping University,2015
351,Umea University,2015
351,King Mongkut's University of Technology Thonburi,2015
351,National Cheng Kung University,2015
351,National Sun Yat-Sen University,2015
351,National Taiwan University of Science and Technology,2015
351,Aston University,2015
351,University of Hertfordshire,2015
351,University of Portsmouth,2015
351,Aberystwyth University,2015
351,University of Missouri - Columbia,2015
351,University of Vermont,2015
351,George Mason University,2015
351,Washington State University,2015
351,Lehigh University,2015
351,University of Eastern Finland,2015
351,Uit the Arctic University of Norway,2015
1,California Institute of Technology - Caltech,2016
2,University of Oxford,2016
3,Stanford University,2016
4,University of Cambridge,2016
5,Massachusetts Institute of Technology - MIT,2016
6,Harvard University,2016
7,Princeton University,2016
8,Imperial College London,2016
9,Swiss Federal Institute of Technology Zurich - ETHZ,2016
10,University of Chicago,2016
11,Johns Hopkins University,2016
12,Yale University,2016
13,University of California - Berkeley,2016
14,University College London,2016
15,Columbia University,2016
16,University of California - Los Angeles,2016
17,University of Pennsylvania,2016
18,Cornell University,2016
19,University of Toronto,2016
20,Duke University,2016
21,University of Michigan - Ann Arbor,2016
22,Carnegie Mellon University,2016
23,London School of Economics,2016
24,University of Edinburgh,2016
25,Northwestern University,2016
26,National University of Singapore,2016
27,King's College London,2016
28,Karolinska Institute,2016
29,University of Munchen,2016
30,New York University,2016
31,Swiss Federal Institute of Technology Lausanne - EPFL,2016
32,University of Washington,2016
33,University of Melbourne,2016
34,University of British Columbia,2016
35,Catholic University of Leuven,2016
36,University of Illinois at Urbana-Champaign,2016
37,University of Heidelberg,2016
38,McGill University,2016
39,University of California - San Diego,2016
39,University of California - Santa Barbara,2016
41,Georgia Institute of Technology,2016
42,Peking University,2016
43,The University of Tokyo,2016
44,University of Hong Kong,2016
44,University of California - Davis,2016
46,University of Texas at Austin,2016
47,Tsinghua University,2016
47,Wageningen University & Research Center,2016
49,Humboldt University of Berlin,2016
50,University of Wisconsin-Madison,2016
51,Brown University,2016
52,Australian National University,2016
53,Technical University of Munchen,2016
54,Ecole Normale Superieure de Paris,2016
55,Nanyang Technological University,2016
56,University of Sydney,2016
56,University of Manchester,2016
58,University of Amsterdam,2016
59,Hong Kong University of Science and Technology,2016
60,University of Queensland,2016
60,Washington University in St. Louis,2016
62,Utrecht University,2016
63,University of North Carolina at Chapel Hill,2016
64,Boston University,2016
65,Delft University of Technology,2016
65,University of Minnesota,2016
67,University of Leiden,2016
68,University of Southern California,2016
69,University of Bristol,2016
70,University of Durham,2016
71,Erasmus University Rotterdam,2016
72,Free University of Berlin,2016
73,Monash University,2016
74,University of Groningen,2016
75,Pennsylvania State University,2016
76,University of Helsinki,2016
76,University of Glasgow,2016
78,University of Tubingen,2016
79,University of Pittsburgh,2016
80,University of Warwick,2016
81,Uppsala University,2016
82,University of New South Wales,2016
82,University of Copenhagen,2016
84,University of Freiburg,2016
85,Seoul National University,2016
86,University of St. Andrews,2016
87,Vanderbilt University,2016
88,Kyoto University,2016
88,University of Maastricht,2016
90,Lund University,2016
90,Emory University,2016
90,Ohio State University,2016
93,University of Exeter,2016
94,McMaster University,2016
94,University of Bonn,2016
94,Georgetown University,2016
97,University of Sheffield,2016
98,Queen Mary - University of London,2016
99,University of Gottingen,2016
99,Michigan State University,2016
101,University of Basel,2016
101,Ecole Polytechnique,2016
101,Rice University,2016
104,Dartmouth College,2016
104,University of Zurich,2016
106,University of Mannheim,2016
106,University of California - Irvine,2016
108,University of Notre Dame,2016
109,University of Western Australia,2016
110,University of Southampton,2016
110,RWTH Aachen University,2016
112,Scuola Normale Superiore di Pisa,2016
113,University of Montreal,2016
113,University Pierre et Marie Curie (Paris VI),2016
113,Purdue University,2016
116,Pohang University of Science and Technology,2016
117,University of Maryland at College Park,2016
118,University of Gent,2016
119,University of Birmingham,2016
120,University of Bern,2016
120,University of Cape Town,2016
120,University of Florida,2016
123,University of Erlangen-Nurnberg,2016
123,Rutgers - The State University of New Jersey,2016
125,University of Munster,2016
125,Radboud University of Nijmegen,2016
127,University of Colorado at Boulder,2016
127,Tufts University,2016
129,Royal Holloway - University of London,2016
130,University of Lancaster,2016
131,University of Geneva,2016
131,University of York,2016
133,University of Leeds,2016
133,Case Western Reserve University,2016
135,University of Oslo,2016
136,Stockholm University,2016
137,University of Alberta,2016
138,Chinese University of Hong Kong,2016
138,Karlsruhe Institute of Technology,2016
140,University of Sussex,2016
141,University of Massachusetts (System),2016
142,University of Vienna,2016
143,University of Nottingham,2016
144,University of Lausanne,2016
144,University of California - Santa Cruz,2016
146,Autonomous University of Barcelona,2016
147,University of Virginia,2016
148,Korea Advanced Institute of Science and Technology,2016
149,University of Adelaide,2016
149,Aarhus University,2016
149,University of Twente,2016
149,University of East Anglia,2016
153,Sungkyunkwan University,2016
154,VU University Amsterdam,2016
155,KTH - Royal Institute of Technology,2016
156,University of Cologne,2016
157,University of Liverpool,2016
158,Technical University of Dresden,2016
158,University of Rochester,2016
160,Trinity College Dublin,2016
161,Moscow State University,2016
161,University of Miami,2016
163,University of Arizona,2016
164,University Pompeu Fabra,2016
164,University of Reading,2016
164,Yeshiva University,2016
167,Catholic University of Louvain,2016
167,Technical University of Denmark,2016
167,National Taiwan University,2016
167,University of Leicester,2016
167,University of California - Riverside,2016
172,University of Auckland,2016
172,University of Aberdeen,2016
174,University of Barcelona,2016
175,University of Konstanz,2016
176,University College Dublin,2016
176,Eindhoven University of Technology,2016
178,Hebrew University of Jerusalem,2016
179,University of Waterloo,2016
180,Sant'Anna School of Advanced Studies,2016
180,Goteborg University,2016
182,University of Bergen,2016
182,Cardiff University,2016
182,University of Utah,2016
185,University of Wurzburg,2016
185,University of Dundee,2016
185,Brandeis University,2016
188,University Paris Sud (Paris XI),2016
189,Arizona State University,2016
190,University of Antwerp,2016
190,Boston College,2016
192,University of Ulm,2016
193,University of Luxembourg,2016
193,Texas A&M University,2016
195,Charite - University Medicine Berlin,2016
196,St George's - University of London,2016
196,Newcastle University - Newcastle-upon-Tyne,2016
198,University of Trento,2016
199,University Denis Diderot (Paris VII),2016
200,Queen's University Belfast,2016
201,Medical University of Vienna,2016
201,University of Technology Sydney,2016
201,Dalhousie University,2016
201,Laval University,2016
201,University of Calgary,2016
201,University of Ottawa,2016
201,University of Victoria,2016
201,Western University,2016
201,University of Fribourg,2016
201,Fudan University,2016
201,University of Science and Technology of China,2016
201,University of Kiel,2016
201,University of Duisburg-Essen,2016
201,University of Frankfurt am Main,2016
201,University of Mainz,2016
201,Technical University of Darmstadt,2016
201,University of Stuttgart,2016
201,Aalborg University,2016
201,Copenhagen Business School,2016
201,Ecole Normale Superieure de Lyon,2016
201,University Joseph Fourier - Grenoble I,2016
201,University Rene Descartes (Paris V),2016
201,City University of Hong Kong,2016
201,Hong Kong Polytechnic University,2016
201,Tel Aviv University,2016
201,Polytechnic University of Milan,2016
201,University of Bologna,2016
201,University of Rome - La Sapienza,2016
201,Tohoku University,2016
201,Tokyo Institute of Technology,2016
201,Tilburg University,2016
201,University of Otago,2016
201,Chalmers University of Technology,2016
201,Swedish University of Agricultural Sciences,2016
201,Birkbeck - University of London,2016
201,University of Witwatersrand,2016
201,George Washington University,2016
201,Florida State University,2016
201,University of South Florida,2016
201,University of Hawaii at Manoa,2016
201,Rush University,2016
201,University of Illinois at Chicago,2016
201,Indiana University at Bloomington,2016
201,University of Iowa,2016
201,Northeastern University,2016
201,State University of New York at Buffalo,2016
201,State University of New York at Stony Brook,2016
201,Wake Forest University,2016
201,Oregon Health and Science University,2016
201,University of Texas at Dallas,2016
201,College of William and Mary,2016
201,St Petersburg State Politecnical University,2016
201,Royal Veterinary College,2016
251,Vienna University of Technology,2016
251,Charles Darwin University,2016
251,Flinders University,2016
251,Griffith University,2016
251,James Cook University,2016
251,Queensland University of Technology,2016
251,University of Newcastle - Australia,2016
251,University of Tasmania,2016
251,University of Wollongong,2016
251,University of Liege,2016
251,University of Sao Paulo,2016
251,Queen's University,2016
251,Simon Fraser University,2016
251,Nanjing University,2016
251,Zhejiang University,2016
251,University of Giessen,2016
251,University of Bochum,2016
251,University of Bayreuth,2016
251,University of Bielefeld,2016
251,National University of Ireland - Galway,2016
251,Royal College of Surgeons,2016
251,Indian Institute of Science,2016
251,University of Iceland,2016
251,Osaka University,2016
251,Korea University,2016
251,Tomsk Polytechnic University,2016
251,Linkoping University,2016
251,Umea University,2016
251,Koc University,2016
251,National Tsinghua University,2016
251,University of Bath,2016
251,University of Surrey,2016
251,Colorado School of Mines,2016
251,Colorado State University,2016
251,University of Delaware,2016
251,University of Georgia,2016
251,Iowa State University,2016
251,Tulane University,2016
251,St. Louis University,2016
251,Rensselaer Polytechnic Institute,2016
251,Syracuse University,2016
251,North Carolina State University,2016
251,Oregon State University,2016
251,University of Tennessee - Knoxville,2016
251,Virginia Polytechnic Institute and State University,2016
251,Aalto University,2016
251,University of Bordeaux,2016
251,Aix-Marseille University,2016
251,King Abdulaziz University,2016
301,University of Innsbruck,2016
301,Deakin University,2016
301,Macquarie University,2016
301,Vrije Universiteit Brussel,2016
301,York University,2016
301,Shanghai Jiao Tong University,2016
301,Technical University of Ostrava,2016
301,University of Greifswald,2016
301,University of Bremen,2016
301,University of Hannover,2016
301,University of Hohenheim,2016
301,University of Southern Denmark,2016
301,Autonomous University of Madrid,2016
301,University of Navarra,2016
301,University of Turku,2016
301,Toulouse 1 University Capitole,2016
301,Technion - Israel Institute of Technology,2016
301,University of Milan,2016
301,University of Milan - Bicocca,2016
301,University of Naples Federico II,2016
301,University of Padua,2016
301,University of Pavia,2016
301,University of Trieste,2016
301,University of Turin,2016
301,Nagoya University,2016
301,Yonsei University,2016
301,National Chiao Tung University,2016
301,National Taiwan University of Science and Technology,2016
301,University of Essex,2016
301,University of Kent at Canterbury,2016
301,University of Plymouth,2016
301,Aberystwyth University,2016
301,Bangor University,2016
301,University of Stellenbosch,2016
301,University of Alaska - Fairbanks,2016
301,University of Connecticut,2016
301,University of Nebraska - Lincoln,2016
301,University of Cincinnati,2016
301,University of Oregon,2016
301,George Mason University,2016
301,Medical College of Wisconsin,2016
301,University of Strasbourg,2016
301,National Research Nuclear University,2016
301,Technical University of Dortmund,2016
301,Gwangju Institute of Science and Technology,2016
301,Kazan Federal University,2016
301,University of Montpellier,2016
301,Orebro University,2016
351,Universidad de Palermo,2016
351,Graz University of Technology,2016
351,La Trobe University,2016
351,Swinburne University of Technology,2016
351,University of South Australia,2016
351,Universite Libre de Bruxelles,2016
351,State University of Campinas,2016
351,University of Guelph,2016
351,University of Manitoba,2016
351,University of St.Gallen,2016
351,University of Cyprus,2016
351,University of Tartu,2016
351,University of Oulu,2016
351,University Pantheon-Sorbonne (Paris I),2016
351,University of Droit et de la Sante - Lille II,2016
351,University of Crete,2016
351,Hong Kong Baptist University,2016
351,National University of Ireland - Maynooth,2016
351,University College Cork,2016
351,Indian Institute of Technology - Bombay,2016
351,Polytechnic University of Turin,2016
351,Roma Tre University,2016
351,University of Florence,2016
351,University of Modena,2016
351,University of Verona,2016
351,Hanyang University,2016
351,Norwegian University of Science and Technology,2016
351,Victoria University of Wellington,2016
351,Bilkent University,2016
351,Sabanci University,2016
351,Loughborough University,2016
351,University of Stirling,2016
351,Swansea University,2016
351,San Diego State University,2016
351,Wayne State University,2016
351,University of Missouri - Columbia,2016
351,University of Montana,2016
351,University of Nebraska Medical Center,2016
351,University of New Mexico,2016
351,Binghamton University,2016
351,Drexel University,2016
351,Temple University,2016
351,University of South Carolina,2016
351,University of South Dakota,2016
351,University of Houston,2016
351,University of Texas at San Antonio,2016
351,Washington State University,2016
351,University of Jyvaskyla,2016
351,University of Eastern Finland,2016
351,Sun Yat-Sen University,2016
351,Uit the Arctic University of Norway,2016
351,Instituto Superior Tecnico Lisboa,2016
401,University of Macau,2016
401,University of Linz,2016
401,University of Graz,2016
401,Curtin University,2016
401,Murdoch University,2016
401,RMIT University,2016
401,Southern Cross University,2016
401,University of Western Sydney,2016
401,Concordia University,2016
401,University of Quebec at Montreal,2016
401,University of Saskatchewan,2016
401,University of Neuchatel,2016
401,Pontifical Catholic University of Chile,2016
401,Federico Santa Maria Technical University,2016
401,East China University of Science and Technology,2016
401,Wuhan University,2016
401,Xiamen University,2016
401,Charles University Prague,2016
401,Brno University of Technology,2016
401,Kaiserslautern University of Technology,2016
401,Complutense University of Madrid,2016
401,Polytechnic University of Catalonia,2016
401,University of Valencia,2016
401,University Rovira I Virgili Tarragona,2016
401,Tampere University of Technology,2016
401,University of Tampere,2016
401,Institut National des Sciences Appliquees de Lyon,2016
401,University Claude Bernard - Lyon I,2016
401,University of Nantes,2016
401,University of Nice-Sophia Antipolis,2016
401,University of Athens,2016
401,University of Ioannina,2016
401,Dublin City University,2016
401,Bar-Ilan University,2016
401,Indian Institute of Technology - Delhi,2016
401,Indian Institute of Technology - Kharagpur,2016
401,Indian Institute of Technology - Madras,2016
401,Iran University of Science and Technology Tehran,2016
401,Sharif University of Technology,2016
401,Catholic University of the Sacred Heart,2016
401,University of Bari,2016
401,University of Brescia,2016
401,University of Cagliari,2016
401,University of Ferrara,2016
401,University of Genoa,2016
401,University of Salento,2016
401,University of Palermo,2016
401,University of Parma,2016
401,University of Pisa,2016
401,University of Rome - Tor Vergata,2016
401,University of Siena,2016
401,University of Urbino Carlo Bo,2016
401,Hokkaido University,2016
401,Kyushu University,2016
401,Tokyo Medical and Dental University,2016
401,Tokyo Metropolitan University,2016
401,Tsukuba University,2016
401,Ewha Womans University,2016
401,Kyung Hee University,2016
401,Ulsan University,2016
401,National Autonomous University of Mexico,2016
401,University of Technology - Malaysia,2016
401,University of Canterbury,2016
401,University of Waikato,2016
401,New University of Lisbon,2016
401,University of Aveiro,2016
401,University of Coimbra,2016
401,University of Porto,2016
401,Novosibirsk State University,2016
401,St. Petersburg State University,2016
401,China Medical University - Taiwan,2016
401,National Cheng Kung University,2016
401,Makerere University,2016
401,Aston University,2016
401,Bournemouth University,2016
401,Brunel University,2016
401,City University London,2016
401,Heriot-Watt University,2016
401,Keele University,2016
401,Open University,2016
401,Oxford Brookes University,2016
401,University of Hull,2016
401,University of Portsmouth,2016
401,University of Strathclyde,2016
401,University of Ulster,2016
401,University of KwaZulu-Natal,2016
401,University of San Francisco,2016
401,American University,2016
401,Howard University,2016
401,Florida International University,2016
401,Georgia State University,2016
401,University of Idaho,2016
401,Louisiana State University,2016
401,University of Maryland Baltimore County,2016
401,State University of New York at Albany,2016
401,Lehigh University,2016
401,National Yang-Ming University,2016
401,Marche Polytechnic University,2016
401,Ca Foscari University of Venice,2016
501,United Arab Emirates University,2016
501,Central Queensland University,2016
501,Edith Cowan University,2016
501,University of Canberra,2016
501,Pontifical Catholic University of Rio de Janeiro,2016
501,Federal University of Rio de Janeiro,2016
501,Carleton University,2016
501,Memorial University of Newfoundland,2016
501,University of Regina,2016
501,University of Sherbrooke,2016
501,University of Chile,2016
501,China Agricultural University,2016
501,East China Normal University,2016
501,Harbin Institute of Technology,2016
501,Huazhong University of Science and Technology,2016
501,Renmin University of China,2016
501,South China University of Technology,2016
501,Tianjin University,2016
501,Tongji University,2016
501,Xi'an Jiaotong University,2016
501,University of Los Andes,2016
501,Czech Technical University of Prague,2016
501,Masaryk University,2016
501,Palacky University,2016
501,University of Magdeburg,2016
501,University of Granada,2016
501,University of La Laguna,2016
501,University of Oviedo,2016
501,University of Salamanca,2016
501,University of Santiago de Compostela,2016
501,University of Seville,2016
501,University of Zaragoza,2016
501,University of the Basque Country,2016
501,Lappeenranta University of Technology,2016
501,University Blaise Pascal - Clermont-Ferrand II,2016
501,University Paris-Dauphine (Paris IX),2016
501,University of Rennes I,2016
501,University of Burgundy,2016
501,National Technical University of Athens,2016
501,Semmelweis University,2016
501,University of Limerick,2016
501,Ben-Gurion University of the Negev,2016
501,University of Haifa,2016
501,Indian Institute of Technology - Guwahati,2016
501,Indian Institute of Technology - Kanpur,2016
501,Indian Institute of Technology - Roorkee,2016
501,Jadavpur University,2016
501,Panjab University,2016
501,Isfahan University of Technology,2016
501,Tehran University of Medical Sciences,2016
501,University of Catania,2016
501,Hiroshima University,2016
501,Kanazawa University,2016
501,Keio University,2016
501,Osaka City University,2016
501,Tokyo University of Agriculture and Technology,2016
501,Chung-Ang University,2016
501,Pusan National University,2016
501,American University of Beirut,2016
501,Monterrey Institute of Technology and Higher Education,2016
501,Massey University,2016
501,Quaid-i-Azam University,2016
501,University of Warsaw,2016
501,University of Lisbon,2016
501,University of Minho,2016
501,Babes-Bolyai University,2016
501,Bauman Moscow State Technical University,2016
501,King Saud University,2016
501,University of Maribor,2016
501,Mahidol University,2016
501,Bogazici University,2016
501,Istanbul Technical University,2016
501,Middle East Technical University,2016
501,National Central University,2016
501,National Sun Yat-Sen University,2016
501,National Taiwan Normal University,2016
501,De Montfort University Leicester,2016
501,Liverpool John Moores University,2016
501,The Manchester Metropolitan University,2016
501,University of Hertfordshire,2016
501,University of Pretoria,2016
501,University of Arkansas at Fayetteville,2016
501,Kansas State University,2016
501,Montana State University,2016
501,New Jersey Institute of Technology,2016
501,New Mexico State University,2016
501,University of North Carolina at Greensboro,2016
501,Kent State University,2016
501,University of Toledo,2016
501,Oklahoma State University,2016
501,University of Tulsa,2016
501,Portland State University,2016
501,University of Texas at Arlington,2016
501,University of Wisconsin-Milwaukee,2016
501,Auburn University,2016
501,King Fahd University of Petroleum & Minerals,2016
501,Amirkabir University of Technology,2016
501,Tallinn University of Technology,2016
501,Missouri University of Science and Technology,2016
501,Soochow University,2016
601,National University de Cordoba,2016
601,American University of Sharjah,2016
601,University of Southern Queensland,2016
601,University of Dhaka,2016
601,Pontifical Catholic University of Parana,2016
601,Pontifical Catholic University of Rio Grande do Sul,2016
601,Sao Paulo State University,2016
601,Federal University of Bahia,2016
601,Federal University of Lavras,2016
601,Federal University of Minas Gerais,2016
601,Federal University of Santa Catarina,2016
601,Federal University of Sao Carlos,2016
601,Federal University of Vicosa,2016
601,Federal University of Parana,2016
601,Federal University of Rio Grande do Sul,2016
601,University of Brasilia,2016
601,Rio de Janeiro State University,2016
601,Belarusian State University,2016
601,University Austral de Chile,2016
601,Pontifical Catholic University of Valparaiso,2016
